search-appleinc,$aapl OR #appleinc
search-google,$googl OR $goog OR #google
search-microsoft,$msft OR #microsoft
search-amazon,$amzn OR #amazon
search-facebook,$fb OR #facebook
search-exxonmobil,$xom OR #exxonmobil
search-jnjcares,$jnj OR #jnjcares
search-jpmorganchase,$jpm OR #jpmorganchase
search-wellsfargo,$wfc OR #wellsfargo
search-bankofamerica,$bac OR #bankofamerica
search-generalelectric,$ge OR #generalelectric
search-attinc,$t OR #attinc
search-proctergamble,$pg OR #proctergamble
search-walmartstores,$wmt OR #walmartstores
search-chevroncorp,$cvx OR #chevroncorp
search-visainc,$v OR #visainc
search-pfizer,$pfe OR #pfizer
search-verizoncommunications,$vz OR #verizoncommunications
search-merckco,$mrk OR #merckco
search-cocacola,$ko OR #cocacola
search-comcast,$cmcsa OR #comcast
search-homedepot,$hd OR #homedepot
search-waltdisneycompany,$dis OR #waltdisneycompany
search-oracle,$orcl OR #oracle
search-philipmorris,$pm OR #philipmorris
search-cisco,$csco OR #cisco
search-internationalbusinessmachines,$ibm OR #internationalbusinessmachines
search-intel,$intc OR #intel
search-citigroup,$c OR #citigroup
search-unitedhealthgroup,$unh OR #unitedhealthgroup
search-pepsi,$pep OR #pepsi
search-altriagroup,$mo OR #altriagroup
search-amgen,$amgn OR #amgen
search-mastercard,$ma OR #mastercard
search-3mcompany,$mmm OR #3mcompany
search-medtronic,$mdt OR #medtronic
search-boeing,$ba OR #boeing
search-schlumberger,$slb OR #schlumberger
search-kraftheinz,$khc OR #kraftheinz
search-mcdonald's,$mcd OR #mcdonald's
search-goldmansachs,$gs OR #goldmansachs
search-abbvie,$abbv OR #abbvie
search-honeywell,$hon OR #honeywell
search-celgene,$celg OR #celgene
search-bristolmyerssquibb,$bmy OR #bristolmyerssquibb
search-nike,$nke OR #nike
search-usbancorp,$usb OR #usbancorp
search-walgreensboots,$wba OR #walgreensboots
search-unitedparcelservice,$ups OR #unitedparcelservice
search-unitedtechnologies,$utx OR #unitedtechnologies
search-gileadsciences,$gild OR #gileadsciences
search-unionpacific,$unp OR #unionpacific
search-broadcom,$avgo OR #broadcom
search-reynoldsamerican,$rai OR #reynoldsamerican
search-elililly,$lly OR #elililly
search-chartercommunications,$chtr OR #chartercommunications
search-morganstanley,$ms OR #morganstanley
search-cvshealth,$cvs OR #cvshealth
search-priceline.com,$pcln OR #priceline.com
search-qualcomm,$qcom OR #qualcomm
search-starbucks,$sbux OR #starbucks
search-allergan,$agn OR #allergan
search-texasinstruments,$txn OR #texasinstruments
search-abbottlaboratories,$abt OR #abbottlaboratories
search-lockheedmartin,$lmt OR #lockheedmartin
search-accenture,$acn OR #accenture
search-dowchemical,$dow OR #dowchemical
search-timewarner,$twx OR #timewarner
search-costco,$cost OR #costco
search-americanexpress,$axp OR #americanexpress
search-lowescos,$low OR #lowescos
search-dupont,$dd OR #dupont
search-mondelezinternational,$mdlz OR #mondelezinternational
search-colgatepalmolive,$cl OR #colgatepalmolive
search-chubblimited,$cb OR #chubblimited
search-biogenidec,$biib OR #biogenidec
search-blackrock,$blk OR #blackrock
search-americaninternationalgroup,$aig OR #americaninternationalgroup
search-pncfinancial,$pnc OR #pncfinancial
search-thermofisherscientific,$tmo OR #thermofisherscientific
search-nexteraenergy,$nee OR #nexteraenergy
search-netflix,$nflx OR #netflix
search-danahercorp,$dhr OR #danahercorp
search-adobe,$adbe OR #adobe
search-conocophillips,$cop OR #conocophillips
search-salesforce,$crm OR #salesforce
search-nvidia,$nvda OR #nvidia
search-metlifeinc,$met OR #metlifeinc
search-generaldynamics,$gd OR #generaldynamics
search-eogresources,$eog OR #eogresources
search-dukeenergy,$duk OR #dukeenergy
search-twentyfirstcenturyfox,$foxa OR #twentyfirstcenturyfox
search-caterpillar,$cat OR #caterpillar
search-generalmotors,$gm OR #generalmotors
search-twentyfirstcenturyfox,$fox OR #twentyfirstcenturyfox
search-charlesschwab,$schw OR #charlesschwab
search-simonpropertygroup,$spg OR #simonpropertygroup
search-paypal,$pypl OR #paypal
search-tjxcompanies,$tjx OR #tjxcompanies
search-americanairlines,$aal OR #americanairlines
search-analogdevicesinc,$adi OR #analogdevicesinc
search-adp,$adp OR #adp
search-autodesk,$adsk OR #autodesk
search-aligntechnology,$algn OR #aligntechnology
search-alexionpharmaceuticals,$alxn OR #alexionpharmaceuticals
search-appliedmaterials,$amat OR #appliedmaterials
search-asml,$asml OR #asml
search-activisionblizzard,$atvi OR #activisionblizzard
search-baidu,$bidu OR #baidu
search-biomarin,$bmrn OR #biomarin
search-cainc,$ca OR #cainc
search-cadencedesignsystems,$cdns OR #cadencedesignsystems
search-cerner,$cern OR #cerner
search-checkpointltd,$chkp OR #checkpointltd
search-csxcorporation,$csx OR #csxcorporation
search-cintascorp,$ctas OR #cintascorp
search-ctrip,$ctrp OR #ctrip
search-cognizanttechnology,$ctsh OR #cognizanttechnology
search-citrix,$ctxs OR #citrix
search-dishnetwork,$dish OR #dishnetwork
search-dollartree,$dltr OR #dollartree
search-electronicarts,$ea OR #electronicarts
search-ebay,$ebay OR #ebay
search-expressscripts,$esrx OR #expressscripts
search-expedia,$expe OR #expedia
search-fastenal,$fast OR #fastenal
search-fiserv,$fisv OR #fiserv
search-hasbro,$has OR #hasbro
search-hologic,$holx OR #hologic
search-henryschein,$hsic OR #henryschein
search-idexx,$idxx OR #idexx
search-illumina,$ilmn OR #illumina
search-incytecorp,$incy OR #incytecorp
search-intuit,$intu OR #intuit
search-intuitivesurgical,$isrg OR #intuitivesurgical
search-jbhunt,$jbht OR #jbhunt
search-jd.com,$jd OR #jd.com
search-klatencor,$klac OR #klatencor
search-libertyglobal,$lbtya OR #libertyglobal
search-libertyglobal,$lbtyk OR #libertyglobal
search-lamresearch,$lrcx OR #lamresearch
search-libertyventures,$lvnta OR #libertyventures
search-marriottinternational,$mar OR #marriottinternational
search-microchiptechnology,$mchp OR #microchiptechnology
search-mercadolibre,$meli OR #mercadolibre
search-monste beverage,$mnst OR #monste beverage
search-microntechnology,$mu OR #microntechnology
search-maximintegrated,$mxim OR #maximintegrated
search-mylan,$myl OR #mylan
search-netease,$ntes OR #netease
search-oreillyautoparts,$orly OR #oreillyautoparts
search-paychex,$payx OR #paychex
search-paccar,$pcar OR #paccar
search-libertyinteractive,$qvca OR #libertyinteractive
search-regeneron,$regn OR #regeneron
search-rossstores,$rost OR #rossstores
search-shireplc,$shpg OR #shireplc
search-siriusxm,$siri OR #siriusxm
search-synopsys,$snps OR #synopsys
search-seagate,$stx OR #seagate
search-skyworks,$swks OR #skyworks
search-symantec,$symc OR #symantec
search-tmobileus,$tmus OR #tmobileus
search-teslamotors,$tsla OR #teslamotors
search-taketwointeractive,$ttwo OR #taketwointeractive
search-ulta,$ulta OR #ulta
search-vodafone,$vod OR #vodafone
search-verisk,$vrsk OR #verisk
search-vertexpharma,$vrtx OR #vertexpharma
search-workdayinc,$wday OR #workdayinc
search-westerndigital,$wdc OR #westerndigital
search-wynnresorts,$wynn OR #wynnresorts
search-xilinx,$xlnx OR #xilinx
search-dentsply,$xray OR #dentsply
search-fedex,$fdx OR #fedex
search-monsanto,$mon OR #monsanto
search-southernco,$so OR #southernco
search-fordmotorcompany,$f OR #fordmotorcompany
search-bnymellon,$bk OR #bnymellon
search-occidentalpetroleum,$oxy OR #occidentalpetroleum
search-americantower,$amt OR #americantower
search-kindermorgan,$kmi OR #kindermorgan
search-strykercorp,$syk OR #strykercorp
